product_id,title,description,brand,category,price,rating,stock,image_url
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",Annibale Colombo,furniture,1899.99,4.77,88,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",Annibale Colombo,furniture,2499.99,3.92,60,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",Furniture Co.,furniture,299.99,2.87,64,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",Knoll,furniture,499.99,4.88,26,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",Bath Trends,furniture,799.99,3.59,7,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",,groceries,1.99,4.19,8,https://cdn.dummyjson.com/product-images/groceries/apple/1.webp
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",,groceries,12.99,4.47,86,https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,,groceries,8.99,3.13,46,https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",,groceries,9.99,3.19,97,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",,groceries,4.99,4.8,10,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",,groceries,1.49,4.07,84,https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,,groceries,10.99,4.55,71,https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",,groceries,2.99,2.53,9,https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",,groceries,14.99,3.78,74,https://cdn.dummyjson.com/product-images/groceries/fish-steak/1.webp
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",,groceries,1.29,3.25,33,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",,groceries,0.99,3.66,3,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",,groceries,6.99,3.97,34,https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",,groceries,5.49,3.39,27,https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",,groceries,3.99,3.94,50,https://cdn.dummyjson.com/product-images/groceries/juice/1.webp
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",,groceries,2.49,4.93,99,https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp
31,Lemon,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",,groceries,0.79,3.53,31,https://cdn.dummyjson.com/product-images/groceries/lemon/1.webp
32,Milk,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",,groceries,3.49,2.61,27,https://cdn.dummyjson.com/product-images/groceries/milk/1.webp
33,Mulberry,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",,groceries,4.99,4.95,99,https://cdn.dummyjson.com/product-images/groceries/mulberry/1.webp
34,Nescafe Coffee,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",,groceries,7.99,4.82,57,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/1.webp
35,Potatoes,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",,groceries,2.29,4.81,13,https://cdn.dummyjson.com/product-images/groceries/potatoes/1.webp
36,Protein Powder,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",,groceries,19.99,4.18,80,https://cdn.dummyjson.com/product-images/groceries/protein-powder/1.webp
37,Red Onions,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",,groceries,1.99,4.2,82,https://cdn.dummyjson.com/product-images/groceries/red-onions/1.webp
38,Rice,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",,groceries,5.99,3.18,59,https://cdn.dummyjson.com/product-images/groceries/rice/1.webp
39,Soft Drinks,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",,groceries,1.99,4.75,53,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/1.webp
40,Strawberry,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",,groceries,3.99,3.08,46,https://cdn.dummyjson.com/product-images/groceries/strawberry/1.webp
41,Tissue Paper Box,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",,groceries,2.49,2.69,86,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/1.webp
42,Water,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",,groceries,0.99,4.96,53,https://cdn.dummyjson.com/product-images/groceries/water/1.webp
43,Decoration Swing,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",,home-decoration,59.99,3.16,47,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/1.webp
44,Family Tree Photo Frame,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",,home-decoration,29.99,4.53,77,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/1.webp
45,House Showpiece Plant,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,,home-decoration,39.99,4.67,28,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/1.webp
46,Plant Pot,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",,home-decoration,14.99,3.01,59,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/1.webp
47,Table Lamp,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",,home-decoration,49.99,3.55,9,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/1.webp
48,Bamboo Spatula,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",,kitchen-accessories,7.99,3.27,37,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/1.webp
49,Black Aluminium Cup,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,,kitchen-accessories,5.99,4.46,75,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/1.webp
50,Black Whisk,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,,kitchen-accessories,9.99,3.9,73,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/1.webp
51,Boxed Blender,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",,kitchen-accessories,39.99,4.56,9,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/1.webp
52,Carbon Steel Wok,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",,kitchen-accessories,29.99,4.05,40,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/1.webp
53,Chopping Board,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",,kitchen-accessories,12.99,3.7,14,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/1.webp
54,Citrus Squeezer Yellow,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,,kitchen-accessories,8.99,4.63,22,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/1.webp
55,Egg Slicer,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",,kitchen-accessories,6.99,3.09,40,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/1.webp
56,Electric Stove,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,,kitchen-accessories,49.99,4.11,21,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/1.webp
57,Fine Mesh Strainer,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,,kitchen-accessories,9.99,3.04,85,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/1.webp
58,Fork,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,,kitchen-accessories,3.99,3.11,7,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/1.webp
59,Glass,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,,kitchen-accessories,4.99,4.02,46,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/1.webp
60,Grater Black,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",,kitchen-accessories,10.99,3.21,84,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/1.webp
61,Hand Blender,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",,kitchen-accessories,34.99,3.86,84,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/1.webp
62,Ice Cube Tray,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,,kitchen-accessories,5.99,4.71,13,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/1.webp
63,Kitchen Sieve,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,,kitchen-accessories,7.99,3.09,68,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/1.webp
64,Knife,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",,kitchen-accessories,14.99,3.26,7,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/1.webp
65,Lunch Box,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",,kitchen-accessories,12.99,4.93,94,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/1.webp
66,Microwave Oven,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",,kitchen-accessories,89.99,4.82,59,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/1.webp
67,Mug Tree Stand,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,,kitchen-accessories,15.99,2.64,88,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/1.webp
68,Pan,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",,kitchen-accessories,24.99,2.79,90,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/1.webp
69,Plate,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,,kitchen-accessories,3.99,3.65,66,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/1.webp
70,Red Tongs,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,,kitchen-accessories,6.99,4.42,82,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/1.webp
71,Silver Pot With Glass Cap,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",,kitchen-accessories,39.99,3.22,40,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/1.webp
72,Slotted Turner,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",,kitchen-accessories,8.99,3.4,88,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/1.webp
73,Spice Rack,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,,kitchen-accessories,19.99,4.87,79,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/1.webp
74,Spoon,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",,kitchen-accessories,4.99,4.03,59,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/1.webp
75,Tray,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",,kitchen-accessories,16.99,4.62,71,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/1.webp
76,Wooden Rolling Pin,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,,kitchen-accessories,11.99,2.92,80,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/1.webp
77,Yellow Peeler,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,,kitchen-accessories,5.99,4.24,35,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/1.webp
78,Apple MacBook Pro 14 Inch Space Grey,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",Apple,laptops,1999.99,3.65,24,https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/1.webp
79,Asus Zenbook Pro Dual Screen Laptop,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",Asus,laptops,1799.99,3.95,45,https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/1.webp
80,Huawei Matebook X Pro,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",Huawei,laptops,1399.99,4.98,75,https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/1.webp
81,Lenovo Yoga 920,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",Lenovo,laptops,1099.99,2.86,40,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/1.webp
82,New DELL XPS 13 9300 Laptop,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",Dell,laptops,1499.99,2.67,74,https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/1.webp
83,Blue & Black Check Shirt,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",Fashion Trends,mens-shirts,29.99,3.64,38,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/1.webp
84,Gigabyte Aorus Men Tshirt,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",Gigabyte,mens-shirts,24.99,3.18,90,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/1.webp
85,Man Plaid Shirt,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,Classic Wear,mens-shirts,34.99,3.46,82,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/1.webp
86,Man Short Sleeve Shirt,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",Casual Comfort,mens-shirts,19.99,2.9,2,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/1.webp
87,Men Check Shirt,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",Urban Chic,mens-shirts,27.99,2.72,95,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/1.webp
88,Nike Air Jordan 1 Red And Black,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",Nike,mens-shoes,149.99,4.77,7,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/1.webp
89,Nike Baseball Cleats,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,Nike,mens-shoes,79.99,3.88,12,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/1.webp
90,Puma Future Rider Trainers,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",Puma,mens-shoes,89.99,4.9,90,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/1.webp
91,Sports Sneakers Off White & Red,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",Off White,mens-shoes,119.99,4.77,17,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/1.webp
92,Sports Sneakers Off White Red,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",Off White,mens-shoes,109.99,4.69,62,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/1.webp
93,Brown Leather Belt Watch,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",Fashion Timepieces,mens-watches,89.99,4.19,32,https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/1.webp
94,Longines Master Collection,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",Longines,mens-watches,1499.99,3.87,100,https://cdn.dummyjson.com/product-images/mens-watches/longines-master-collection/1.webp
95,Rolex Cellini Date Black Dial,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",Rolex,mens-watches,8999.99,4.97,40,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/1.webp
96,Rolex Cellini Moonphase,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",Rolex,mens-watches,12999.99,2.58,36,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/1.webp
97,Rolex Datejust,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",Rolex,mens-watches,10999.99,3.66,86,https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/1.webp
98,Rolex Submariner Watch,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",Rolex,mens-watches,13999.99,2.69,55,https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/1.webp
99,Amazon Echo Plus,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,Amazon,mobile-accessories,99.99,4.99,61,https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/1.webp
100,Apple Airpods,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",Apple,mobile-accessories,129.99,4.15,67,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/1.webp
101,Apple AirPods Max Silver,"The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style.",Apple,mobile-accessories,549.99,3.47,59,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/1.webp
102,Apple Airpower Wireless Charger,The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.,Apple,mobile-accessories,79.99,3.68,1,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/1.webp
103,Apple HomePod Mini Cosmic Grey,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.,Apple,mobile-accessories,99.99,4.62,27,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/1.webp
104,Apple iPhone Charger,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.,Apple,mobile-accessories,19.99,4.15,31,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/1.webp
105,Apple MagSafe Battery Pack,The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.,Apple,mobile-accessories,99.99,3.62,1,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/1.webp
106,Apple Watch Series 4 Gold,"The Apple Watch Series 4 in Gold is a stylish and advanced smartwatch with features like heart rate monitoring, fitness tracking, and a beautiful Retina display.",Apple,mobile-accessories,349.99,2.74,33,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/1.webp
107,Beats Flex Wireless Earphones,"The Beats Flex Wireless Earphones offer a comfortable and versatile audio experience. With magnetic earbuds and up to 12 hours of battery life, they are ideal for everyday use.",Beats,mobile-accessories,49.99,4.24,50,https://cdn.dummyjson.com/product-images/mobile-accessories/beats-flex-wireless-earphones/1.webp
108,iPhone 12 Silicone Case with MagSafe Plum,The iPhone 12 Silicone Case with MagSafe in Plum is a stylish and protective case designed for the iPhone 12. It features MagSafe technology for easy attachment of accessories.,Apple,mobile-accessories,29.99,3.62,69,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/1.webp
109,Monopod,"The Monopod is a versatile camera accessory for stable and adjustable shooting. Perfect for capturing selfies, group photos, and videos with ease.",TechGear,mobile-accessories,19.99,4.43,48,https://cdn.dummyjson.com/product-images/mobile-accessories/monopod/1.webp
110,Selfie Lamp with iPhone,The Selfie Lamp with iPhone is a portable and adjustable LED light designed to enhance your selfies and video calls. Attach it to your iPhone for well-lit photos.,GadgetMaster,mobile-accessories,14.99,3.55,58,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/1.webp
111,Selfie Stick Monopod,The Selfie Stick Monopod is a extendable and foldable device for capturing the perfect selfie or group photo. Compatible with smartphones and cameras.,SnapTech,mobile-accessories,12.99,3.88,11,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/1.webp
112,TV Studio Camera Pedestal,The TV Studio Camera Pedestal is a professional-grade camera support system for smooth and precise camera movements in a studio setting. Ideal for broadcast and production.,ProVision,mobile-accessories,499.99,2.78,15,https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/1.webp
113,Generic Motorcycle,"The Generic Motorcycle is a versatile and reliable bike suitable for various riding preferences. With a balanced design, it provides a comfortable and efficient riding experience.",Generic Motors,motorcycle,3999.99,4.91,34,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/1.webp
